iter	Passed	Remaining
673	69694	33709
674	69796	33605
675	69896	33500
676	69995	33395
677	70096	33290
678	70194	33184
679	70295	33080
680	70396	32975
681	70497	32871
682	70606	32770
683	70711	32667
684	70813	32563
685	70916	32460
686	71022	32358
687	71123	32253
688	71225	32149
689	71332	32047
690	71432	31942
691	71533	31838
692	71738	31780
693	71840	31676
694	71947	31574
695	72049	31469
696	72153	31366
697	72258	31263
698	72358	31158
699	72460	31054
700	72562	30950
701	72663	30845
702	72766	30742
703	72866	30637
704	72964	30531
705	73063	30425
706	73161	30320
707	73264	30216
708	73364	30111
709	73463	30006
710	73564	29901
711	73665	29797
712	73772	29695
713	73872	29590
714	73983	29490
715	74087	29386
716	74186	29281
717	74287	29176
718	74387	29072
719	74485	28966
720	74583	28861
721	74684	28756
722	74786	28652
723	74886	28547
724	74994	28446
725	75096	28342
726	75196	28237
727	75297	28133
728	75397	28028
729	75497	27923
730	75597	27819
731	75699	27715
732	75802	27611
733	75901	27506
734	76001	27401
735	76100	27297
736	76203	27193
737	76310	27091
738	76409	26986
739	76510	26882
740	76609	26777
741	76712	26673
742	76813	26569
743	76921	26467
744	77022	26363
745	77122	26258
746	77221	26153
747	77323	26050
748	77424	25946
749	77524	25841
750	77624	25737
751	77724	25632
752	77827	25529
753	77926	25424
754	78025	25319
755	78125	25215
756	78225	25110
757	78327	25006
758	78426	24902
759	78526	24797
760	78626	24693
761	78727	24589
762	78827	24484
763	78935	24383
764	79037	24279
765	79136	24174
766	79238	24071
767	79339	23967
768	79440	23863
769	79543	23759
770	79643	23655
771	79747	23552
772	79848	23448
773	79946	23343
774	80046	23239
775	80147	23135
776	80249	23031
777	80349	22927
778	80449	22823
779	80547	22718
780	80649	22614
781	80752	22511
782	80855	22408
783	80958	22304
784	81060	22201
785	81161	22097
786	81270	21995
787	81370	21891
788	81471	21787
789	81570	21683
790	81673	21579
791	81774	21476
792	81878	21373
793	81981	21269
794	82082	21165
795	82182	21061
796	82283	20958
797	82383	20854
798	82484	20750
799	82584	20646
800	82688	20543
801	82792	20439
802	82899	20337
803	82999	20233
804	83099	20129
805	83202	20026
806	83302	19922
807	83400	19817
808	83499	19713
809	83597	19609
810	83700	19505
811	83801	19402
812	83901	19298
813	83999	19194
814	84099	19089
815	84200	18986
816	84300	18882
817	84401	18778
818	84502	18675
819	84600	18570
820	84714	18470
821	84828	18369
822	84942	18268
823	85046	18165
824	85145	18061
825	85255	17959
826	85357	17855
827	85455	17751
828	85555	17647
829	85656	17544
830	85759	17440
831	85863	17337
832	85963	17234
833	86062	17129
834	86164	17026
835	86272	16924
836	86374	16820
837	86475	16717
838	86575	16613
839	86680	16510
840	86782	16407
841	86889	16304
842	86991	16201
843	87092	16097
844	87193	15994
845	87295	15890
846	87395	15786
847	87497	15683
848	87596	15579
849	87698	15476
850	87799	15372
851	87902	15269
852	88001	15165
853	88102	15062
854	88214	14960
855	88315	14856
856	88416	14753
857	88515	14649
858	88618	14546
859	88721	14443
860	88827	14340
861	88930	14237
862	89030	14133
863	89130	14029
864	89232	13926
865	89331	13822
866	89431	13719
867	89532	13615
868	89632	13511
869	89734	13408
870	89834	13304
871	90033	13215
872	90134	13112
873	90234	13008
874	90334	12904
875	90437	12801
876	90537	12697
877	90652	12596
878	90776	12496
879	90922	12398
880	91033	12296
881	91137	12192
882	91253	12091
883	91383	11991
884	91488	11888
885	91588	11784
886	91690	11680
887	91792	11577
888	91892	11473
889	91991	11369
890	92091	11265
891	92197	11162
892	92296	11059
893	92397	10955
894	92496	10851
895	92598	10748
896	92700	10644
897	92802	10540
898	92907	10437
899	93008	10334
900	93107	10230
901	93208	10126
902	93308	10023
903	93409	9919
904	93508	9815
905	93610	9712
906	93713	9608
907	93814	9505
908	93920	9402
909	94021	9298
910	94121	9195
911	94227	9092
912	94334	8989
913	94436	8885
914	94536	8782
915	94635	8678
916	94737	8574
917	94837	8471
918	94943	8368
919	95043	8264
920	95142	8161
921	95243	8057
922	95344	7953
923	95445	7850
924	95543	7746
925	95646	7643
926	95748	7540
927	95857	7437
928	95959	7333
929	96059	7230
930	96170	7127
931	96283	7024
932	96385	6921
